ts	phase	decision	why	evidence	result
2026-08-23T12:57:06Z	frame	treat the dirty worktree as the current baseline and preserve every existing change	15 tracked files already contain 5,783 added lines and the generated artifacts exercise code absent from the sole commit	git status --short; git diff --stat	open
2026-08-23T13:04:53Z	package-attribution	infer the application package inside snapshot recovery after obfuscation-map restoration	the pre-map ELF scan had no package evidence and discarded every mapped app function before rendering	target/accuracy-baseline/current/obf-map/decompilation.json; target/accuracy-baseline/after-package/obf-map/decompilation.json	VERIFIED: map-only recovery rose from 0 libraries and 0 functions to 2 libraries and 15 functions
2026-08-23T13:14:12Z	double-predicate	lift ARM64 floating immediates and comparisons through canonical bool selection and negation	Dart compiler ARM64 lowering and both fixture binaries use this exact sequence for the source predicate	test/tool/evaluate_accuracy.py; target/accuracy-baseline/current/obf-raw/ir/program.json; target/accuracy-baseline/after-predicate/obf-raw/ir/program.json	VERIFIED: scorer changed from fail to pass on plain, mapped obfuscated, and raw obfuscated output
2026-08-23T13:21:22Z	boxed-double	collapse only class-proven ARM64 boxed-double fast and slow allocation paths into the source double value	the VM BoxInstr emits both paths for memory management, and the stored header proves stable Double CID 62 plus a 16-byte object	runtime/vm/class_id.h; runtime/vm/raw_object.h; target/accuracy-baseline/after-box/plain/ir/program.json; positive and negative allocation regressions	VERIFIED: the Double path preserves the toStringAsFixed receiver while the same-shaped CID 1000 allocation is not fused
2026-08-23T13:25:45Z	call-arity	tried capping direct-call arguments with recovered callee signature counts	the Product.toString call carries one stale register that should not render as an argument	target/accuracy-baseline/after-box/plain/ir/program.json; target/accuracy-baseline/after-arity/plain/ir/program.json	NOT VERIFIED: the range-resolved callee has no surviving exact signature, output was unchanged, experiment reverted
2026-08-23T13:31:08Z	oracle-boundary	do not infer or trim the remaining Product.toString argument without authoritative signature or object-pool evidence	the local Dart checkout has no built analyze_snapshot oracle and adb is unavailable	vm-oracle/README.md; /home/ege/Documents/Projects/dart-sdk/out (absent); adb (not found)	OPEN LIMITATION: retain an explicit unresolved argument instead of manufacturing source accuracy
2026-08-23T14:03:44Z	x64-predicate	decode x64 Immediate64 pool doubles, repair incoming stack slots, and collapse the exact jp/jae canonical-bool diamond	the fixture stores 10.0 as pool bits 4621819117588971520 and Dart runtime offsets prove the true/false thread slots	target/accuracy-experiment/x64-pool/ir/program.json; target/accuracy-experiment/obf-map-x64/ir/program.json; x64 regression test	VERIFIED: readable and map-only obfuscated x64 now recover the exact negated price predicate
2026-08-23T14:18:27Z	arm32-predicate	decode Dart VFP immediate/compare opcodes that Capstone reports as data, canonicalize ARM register aliases, and fold the compiler bool select	Dart assembler masks plus the fixture bytes 040bb2ee/402bb4ee and runtime bool offsets 0x48/0x4c uniquely identify the sequence	target/accuracy-experiment/plain-arm32/ir/program.json; target/accuracy-experiment/obf-map-arm32/ir/program.json; ARM32 decoder and predicate regressions	VERIFIED: readable and map-only obfuscated ARM32 now recover the exact negated price predicate
2026-08-23T14:27:10Z	independent-audit	fail closed on unproven allocation classes, omitted evaluator variants, and ambiguous package attribution	independent review found one unsafe matcher plus two ways a reported pass could overstate evidence	CID 1000 negative regression; scorer missing-variant exit 2; equal-package regression; test/README.md	VERIFIED: all three findings are encoded as executable checks; retained-function counts are documented only as a coarse safety floor
2026-08-23T14:34:09Z	final-verification	accept the implementation only after the semantic harness separates baseline failure from final success across every packaged ABI	metadata counts alone cannot prove recovered source expressions	cargo test --all-targets; cargo clippy --all-targets -- -D warnings; target/accuracy-final; Dart formatter; test/tool/evaluate_accuracy.py	VERIFIED: baseline scorer exits 1, final nine-variant scorer exits 0, 112 Rust tests pass, and 1,617 generated Dart files parse
2026-08-23T14:42:00Z	next-wave-frame	prioritize a rerunnable authoritative-evidence path over more isolated opcode patterns	the remaining high-value gaps are erased signatures, arity, ownership, and types that the Dart VM deserializer can expose directly	vm-oracle/README.md; test/simple_app/.metadata; target/accuracy-final/plain/decompilation.json	IN PROGRESS: exact Dart 3.12.2 source commit is locally available and the machine has NDK 28 plus x86_64 Android emulators
2026-08-23T15:04:00Z	accuracy-architecture	use immutable exact-bound evidence with separate physical bodies and logical function occurrences, limited to a vertical first slice	the architecture arena ranked this shape highest for authoritative joins and conflict retention while warning against an immediate full semantic rewrite	/tmp/clutter-accuracy-arena/judge.md; vm-oracle/ACCURACY_ARCHITECTURE.md	VERIFIED DESIGN: candidate 1 selected; explicit range relations, parser adapters, typed arity evidence, nine-variant and negative mismatch gates grafted from candidates 2-4
2026-08-23T15:08:00Z	dart-312-probe	sync and patch exact Dart 3.12.2 only in an ignored isolated clone	the checked-in patch applies at d684a576 but the initial build proved that a source-only clone lacks GN and DEPS artifacts	git apply --check at d684a576; missing buildtools/gn exception; target/accuracy-lab	IN PROGRESS: depot_tools installed and gclient dependency sync running without changing /home/ege/Documents/Projects/dart-sdk
2026-08-23T15:38:00Z	oracle-schema4	remove process-ASLR addresses from analyzer output and record the exact Dart SDK commit	replayable oracle evidence must be deterministic and attributable to one VM implementation	target/oracle-x64/plain-v4a.vm.json; target/oracle-x64/plain-v4b.vm.json; vm-oracle/dart-sdk-3.11.4.patch	VERIFIED: independent analyzer runs are byte-identical at SHA-256 60759ffd3503c489fa1ff5a21fc37dec654961c36e7084ece9183dd12157907f and identify Dart d684a576a6
2026-08-23T15:52:00Z	oracle-binding	require a detached cryptographic binding between oracle evidence, the analyzer binary, and every consumed APK payload region	matching only VM version or snapshot hash can silently apply authoritative facts to the wrong application build	src/evidence/subject.rs; src/evidence/oracle.rs; target/oracle-x64/plain-bound.vm.json.binding.json	VERIFIED: the matching APK imports; a different obfuscated APK and an outer-APK-only mutation both fail before evidence import with field-level mismatch reports
2026-08-23T16:10:00Z	tagged-field-offsets	translate machine displacements from Dart's tagged object pointer into logical VM field offsets before naming recovered slots	the operand is one byte below the source object base on all tested ABIs, so exposing the raw displacement produced stable but false field identities	src/analysis/disassembly.rs; target/field-offset; target/oracle-x64/plain-bound.vm.json	VERIFIED: Product.price is logical offset 16 on x64 with oracle confidence; the nine-variant scorer passes logical _slot_10 on ARM64/x64 and _slot_c on ARM32
2026-08-23T16:12:00Z	exact-analyzer-build	make exact-version analyzer construction rerunnable without modifying the developer's Dart SDK checkout	VM-internal evidence is only trustworthy when generated by the snapshot's exact SDK revision and a documented target ABI	vm-oracle/build-exact-analyzers.sh; /home/ege/sdk/out/ProductAndroidX64C/analyze_snapshot; /home/ege/Documents/Projects/dart-sdk	VERIFIED: Dart 3.12.2 analyzer e39d05698f3357fde680c79f62dbc584dac6e1b0c7f81eb5a8442ba60854da6b analyzed the real x64 fixture; the original checkout remains clean
2026-08-23T22:30:00Z	evidence-architecture	implement the seven-point evidence architecture: body/occurrence graph, cross-ABI consensus, signature solver, analyzer schema v5, compiler lab, runtime traces, and explicit tiers	static and oracle parsers already recovered more than the output model retained; erased signatures need tiered outcomes instead of guesses	src/evidence/{body,consensus,signature_solver,runtime_trace,tier}.rs; vm-oracle/dart-sdk-3.11.4.patch (schema 5); test/tool/compiler_lab.sh; reports/{body_graph,cross_abi_consensus}.json	IMPLEMENTED: clippy clean, 137 tests pass, lab builds+mines templates end-to-end on arm64
2026-08-24T05:20:00Z	emit-ir-json-shape	serialize SignatureSolutions as entry records with library_uri/owner/name fields instead of tuple-keyed map keys	serde_json rejects non-string map keys and serde renders tuple keys as arrays; the P8 solver's BTreeMap<(Option<String>,Option<String>,String),_> crashed --emit-ir with "JSON error: key must be a string"	src/evidence/signature_solver.rs (serialize_solutions); src/model.rs RecoveredProgram.signature_solutions attribute; fresh simple_app --emit-ir run parses cleanly	VERIFIED: --emit-ir writes valid IR again; identity data preserved in output; 149 tests pass
2026-08-24T05:45:00Z	arm32-vfp-families	add VFP A2 unary/register-move families (vmov/vneg/vsqrt.f64 + vcvt.f64.f32) gated on opcode nibble 1011	the 1,960 obf-raw-arm32 unknowns were 7 remaining VFP families incl. condition-predicated twins; three-register forms share (vn,op) so bits[23:20]==1011 is the discriminator vs vsub.f64 dD,d0,dM	src/analysis/disassembly.rs decode_arm32_vfp_fallback; masks validated word-by-word against arm-none-eabi-objdump over all 361 residual words and all existing test vectors	VERIFIED: obf-raw-arm32 W_UNKNOWN_INSTRUCTION 1960 -> 0; nine-variant evaluator passes every gate including negated_expensive_predicate* on all ABIs
2026-08-24T06:10:00Z	async-machine-suppression	suppose fabricated while(true) loops in async bodies by suppressing unpredicated While rendering when async style is proven	async state machines compile to dispatch cycles the structurer reads as bottom-tested loops; stub-name evidence alone missed bodies whose only named collaborators are Future.delayed/_StreamIterator/_AsyncStarStreamController	src/render/dart.rs BodyEmitter.is_async_machine + detected_async_style runtime-collaborator signals; edge-probe render diff	VERIFIED: edge-probe fabricated while(true) sites 3 -> 1; residual needs oracle is_async or split-debug stub names (FutureBuilder closure has no named async targets)
2026-08-24T06:15:00Z	p7-classranges-deferred	defer ClassRanges consumption until an exact-bound oracle document exists for a fixture	populated_runs only come from schema-5 analyzer output; without them there is no cid-range evidence to attribute synthetic entries to, and the static dispatch table is selector-major (RowFitter offsets), not cid-indexable	runtime/vm/compiler/aot/dispatch_table_generator.cc SelectorRow::FillTable; target/matrix-wave2/* snapshot_evidence.cluster_cids (identical cid sets across ABIs); no *.vm.json for current fixtures	DEFERRED: attribution design stays as roadmap P7 second half once oracle runs exist
2026-08-24T20:45:00Z	edge-probe-fixes	implement edge_cases.md fixes EC-1..EC-8,EC-10 as renderer-level guards without new snapshot decoding	the probe showed decoded-but-unused evidence (push_function inline records, yield_index descriptors, handler rows, lexical_parent links) and fabrication classes (handler-target loops, empty low-confidence ifs, implicit-closure bodies); ordinal slot naming deferred because accuracy_expectations.json pins _slot_10/_slot_c expression text across the nine-variant matrix	src/render/dart.rs sanitize_free_machine_identifiers + source_operator_syntax + ImplicitClosure one-liner + detected_async_style yield-index fallback + inline_host_names stub cross-reference; src/render/structure.rs handler-block exclusion on both back-edge sides + UnresolvedPredicate demotion + CatchHandler banner; src/snapshot/cluster/type_recovery.rs next_field_words-bounded slot walk with reference-slot marking; test/tool/evaluate_accuracy.py stale_reasons warning; arm32 probe diff localN 26->0, registers 75->7 (all inside comments), tearOff garbage bodies 2->0, fabricated catch while(true) 1->0, operator== now declares as operator ==; 145 lib tests + clippy -D warnings clean	VERIFIED: regenerated .tmp-probe/out2-arm32 with fixed binary; dart analyze diagnostics fell 318->207 with zero syntax errors; remaining argN residue is the pre-existing signature-less-parameter gap (31->29), not EC-5 scope

